roi,epoch,experiment,rho,p_value
LO1,44,random_target_e10_l10,0.07075378170656133,0.0
V3,44,random_target_e10_l10,0.0021905041520882814,0.12158771017974825
FFC,44,random_target_e10_l10,0.129507734128182,0.0
LO3,44,random_target_e10_l10,0.10183278164507355,0.0
V1,45,random_target_e10_l10,0.009424187725013293,2.7251624733050112e-11
PIT,45,random_target_e10_l10,0.0921542326895066,0.0
V2,45,random_target_e10_l10,0.006871734866489358,1.1937908540972974e-06
LO2,45,random_target_e10_l10,0.14212645211040817,0.0
LO1,45,random_target_e10_l10,0.07162956270540922,0.0
V3,45,random_target_e10_l10,0.0034776421587651013,0.013977706880043133
FFC,45,random_target_e10_l10,0.13241358451162608,0.0
LO3,45,random_target_e10_l10,0.10267462766095964,0.0
V1,46,random_target_e10_l10,0.008595135800322213,1.2419170658906676e-09
PIT,46,random_target_e10_l10,0.08982325498843947,0.0
V2,46,random_target_e10_l10,0.0054945735334492995,0.00010303698291048313
LO2,46,random_target_e10_l10,0.1399882923016366,0.0
LO1,46,random_target_e10_l10,0.07018430415998257,0.0
V3,46,random_target_e10_l10,0.0025379389126550353,0.07286191273777715
FFC,46,random_target_e10_l10,0.12937659504948681,0.0
LO3,46,random_target_e10_l10,0.10154431492507844,0.0
V1,47,random_target_e10_l10,0.008201748313701757,6.763479537669615e-09
PIT,47,random_target_e10_l10,0.09255547505084366,0.0
V2,47,random_target_e10_l10,0.00586824690362538,3.362322604152326e-05
LO2,47,random_target_e10_l10,0.1425679599825376,0.0
LO1,47,random_target_e10_l10,0.07150250422882362,0.0
V3,47,random_target_e10_l10,0.002698685180755617,0.05648137188035337
FFC,47,random_target_e10_l10,0.13240446954530205,0.0
LO3,47,random_target_e10_l10,0.10258578025754718,0.0
V1,48,random_target_e10_l10,0.007231350981646641,3.20739662896195e-07
PIT,48,random_target_e10_l10,0.0916543744208623,0.0
V2,48,random_target_e10_l10,0.00465852718307326,0.0009932267613791438
LO2,48,random_target_e10_l10,0.14218088088916467,0.0
LO1,48,random_target_e10_l10,0.07049025636015485,0.0
V3,48,random_target_e10_l10,0.0017009989617674127,0.22929216273237454
FFC,48,random_target_e10_l10,0.13106968943783376,0.0
LO3,48,random_target_e10_l10,0.10220533564572469,0.0
V1,49,random_target_e10_l10,0.008521635431253618,1.7143913990260194e-09
PIT,49,random_target_e10_l10,0.08837968997931438,0.0
V2,49,random_target_e10_l10,0.0056499124313274165,6.521086040666368e-05
LO2,49,random_target_e10_l10,0.13760344516341744,0.0
LO1,49,random_target_e10_l10,0.07032511757156165,0.0
V3,49,random_target_e10_l10,0.002936706592954341,0.03793782240430212
FFC,49,random_target_e10_l10,0.12802776026101806,0.0
LO3,49,random_target_e10_l10,0.10118168603767132,0.0
V1,50,random_target_e10_l10,0.007655395356239418,6.283483335803639e-08
PIT,50,random_target_e10_l10,0.09319442295659476,0.0
V2,50,random_target_e10_l10,0.005409098262859638,0.000131882944733968
LO2,50,random_target_e10_l10,0.1434476842491334,0.0
LO1,50,random_target_e10_l10,0.07123087185383944,0.0
V3,50,random_target_e10_l10,0.0021177653883161954,0.13446215526362507
FFC,50,random_target_e10_l10,0.13323043409679367,0.0
LO3,50,random_target_e10_l10,0.10305137289770759,0.0
V1,51,random_target_e10_l10,0.007426125128904629,1.5334557414980942e-07
PIT,51,random_target_e10_l10,0.0901532318391246,0.0
V2,51,random_target_e10_l10,0.004969944622937707,0.00044385042467716667
LO2,51,random_target_e10_l10,0.13935816838405976,0.0
LO1,51,random_target_e10_l10,0.0700180959828298,0.0
V3,51,random_target_e10_l10,0.0020325861341392833,0.1508503008742592
FFC,51,random_target_e10_l10,0.12905977641772323,0.0
LO3,51,random_target_e10_l10,0.10100808654078508,0.0
V1,52,random_target_e10_l10,0.00795858940324847,1.8568748265061433e-08
PIT,52,random_target_e10_l10,0.0927285179272903,0.0
